"Supplier Name","Top Addresses","Supplier Websites","Supplier Contact Info","Supplier Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Hands Six Inc","12 Madogongdan-Ro 6 Gil Mado- Myeon Hwaseong-Si Gyeonggi-Do 18542 Rep Of Korea, 12 Madogongdan Ro 6 Gil Mado Myeon Hwaseong-Si Gyeonggi-Do 18542 Rep Of Korea, 12 Madogongdan-Ro 6 Gil Mado-Myeo N Hwaseong-Si Gyeonggi-Do 18542Re P Of Korea Tel 82 32 870 9563 D","","Phone Numbers: +820328709563, 82328709563, +820328709564 --- Emails: ","Republic Of Korea","223","Savannah, Ga, Seattle, Wa, Long Beach, Ca","Pusan, Qingdao","870870, 870323, 230706","Aluminum Wheel, Cmau Generic Aluminum Wheel Returnable Plastic, Cmau Generic Aluminum Wheel","1693","14630160","Hands Usa Corp, Ford Motor Company, Wingard Quality Supply Llc","888 West Big Beaver Rd Suite 730 Troy Mi 48084 U S A Attn : Kevin Kim, 888 West Big Beaver Rd Suite 730 Troy Mi 48084 U S A Attn : Kevin Kim Tel : +1 248-979-7508, 5901 Shallowford Rd 20 Chattanooga Tn 37421 U S A Tel : +1 423-521-4600"
"Extrum S A","Km 3 5 Curva La Victoria Choloma Hn, E Cv Km 3 5 Curva A La Victoria Sector Lopez Arellano Choloma Hn Jtabora@Extrum Com 5042669770, E Cv Carretera A Puerto Cortes Km 3 Choloma Hn Jtabora@Extrum Com 5042669770","extrum.com","Phone Numbers: 5042669770, 50426697700 --- Emails: Hn Jtabora@Extrum Com 5042669770, Hn Jtabora@Extrum Com 50426697700, Hn Jtabora@Extrum Com 5555","Honduras","220","Port Everglades, Fl, Jacksonville, Fl, Gulfport, Ms","Puerto Cortes","760421, 740313, 853222","Aluminum Profiles Aluminum Profiles, Aluminium Profiles Bundle Aluminum Profiles, Aluminum Profiles Bundle Aluminum Profiles","295","3229998","Brokerage Consultant Group Inc, Brokerage Consultants Group Inc, Town And Country Industries Inc","7791 Nw 46Th St Ste 202 Doral Fl 33166 Lfvasquezus@Aol Com 3054709794, 7791 N W 46Th Street Suite 202 Lfvasquezus@Aol Com Doral Fl 33172 Us, 400 W Macnab Rd John Newton Tel 954 961-2360 Fort Lauderdale Fl 33309 Us"
"Oman Aluminum Rolling Company","Sohar Industrial Estate Phase 6 Plot No 603 Sohar Oman","","Phone Numbers:  --- Emails: ","Oman","208","New York/Newark Area, Newark, Nj, Norfolk, Va, Savannah, Ga","Mundra, All Other Oman Ports","281830, 760612","Aluminum Coils, Aluminum Coils Aluminum Coils, Aluminum Coils Aluminum Coils Aluminum Coils Aluminum Coils","2365","29039378","Livingston International, Allstates World Cargo, Harbor Freight Transport Corp","615 Channelside Dr - Suite 207 Tampa Fl 33602 Oarcallstates-Worldcargo Com M 732-831-6868, 670 Young St Tonawanda Ny 14150 Usa Ctc Service Delivery Team 06 Tel 716-260-5948 Uscst06Livingsto, 670 Young St Tonawanda Ny 14150 Usa Ctc Service Delivery Team 06 Tel 716-260-5948"
"Rti Limited","44 Esplanade St Helier Je4 9Wg Jersey Channel Islands, 44 Esplanade Saint Helier Je4 9Wg Jersey Channel Islands, 44 Esplanade St St Helier Jersey","","Phone Numbers:  --- Emails: ","Russia","195","New Orleans, La, Baltimore, Md, Houston, Tx","St. Petersburg, Primorsk, Pusan","761691, 740313, 760421","Aluminum Billets, Primary Homogenized Aluminum Alloy Extrusion Billets Alloy, Primary Aluminum Wire Rod","2","60871963","Bruzzone Shipping Inc, To Order Of Rusal America Corp, To Order Of Perennial Group Inc","10 N Calvert St Suite 513 Baltimore Md 21202 301-799-9404 Cherl@Bruzzone Com, 800 Westchester Avenue Ste S-308 Rye Brook Ny 10573 Attn: Misha Patel Ph: 914-670-8447, 800 Westchester Avenue Ste S-308 Rye Brook Ny 10573 Attn: Misha Patel 914-670-8447"
"Reciclajes Totales De America S A","Via Espana Y Calle 17 Rio Abajo Panama Rep De Panama Tel 507 209-4907","","Phone Numbers: 5072094907 --- Emails: ","Mexico","194","Jacksonville, Fl, Port Everglades, Fl, Jacksonville, F","Puerto Manzanillo","760200, 210390, 290349","Aluminium Mixed Scrap Aluminum Mixed Scrap, Aluminium Mixed Scrap Bdls Aluminum Mixed Scrap, Aluminium Mixed Scrap Aluminum Mixed Scrapp","388","4569359","Customized Brokers, Expeditors International, Vimar Transportation","10205 Nw 108Th Avenue Miami Fl 3317Phone 305 471-8989 Email Imports@Crowley Com, 506 E Dallas Rd# 400 Grapevine Tx Attn Connie Neagle Phone 817 305-4000 Fax 817 421, 4065 Nw 79 Avenue Doral Fl 33166 Tel 305 591-9578 Fax 305 591-4137"
"Ci Aca Aluminios Cobres Aceros Sas","Carrera 45 5 -45 Barranquilla Colombia Tel 301 2639981, Carrera 45 5 45 Barranquilla Colombia Tel 301 2639981","","Phone Numbers: 3012639981 --- Emails: ","Yugoslavia","187","New Orleans, La, Houston, Tx, Savannah, Ga","Cartagena, Port Bustamante, Veracruz","760200, 847439, 551332","Aluminum Scrap Mts Aca Aluminios Cobres Aceros Sas Transfer Right Control Ami Trading Usa Consignee Parag Cmi Uniforms Rules Sea Waybill, Aluminum Scrap Mts Aca Aluminios Cobres Aceros Sas Transfer Right Control Ami Trading Usa Consignee Parag Cmi Uniforms Rules Sea, Aluminum Scrap Mts Mts Aca Aluminios Cobres Aceros Sas Transfer Right Control Ami Trading Usa Consignee Parag Cmi Uniforms Rules Sea Waybill","424","4990882","Ami Trade Usa Inc, Ami Trade Inc, Royce Corp","1875 Sw 22 St Miami Fl 33145 Ph:305-854-8890 Fax:305-854-2141, Usa 1875 Sw 22 St Miami Fl 33145 Ph:305-854-8890 Fax:305-854-2141, 1875 Sw 22Nd St Miami Fl 33145 Ph:305-854-8890 Fax:305-854-2141"
"Fisa Fundiciones Industriales S A","Fisa Fundiciones Industriales S A Escobedo 1402 Y Luque Telefono: 2513855 Fax 2324351 Ruc:, Escobedo 1402 Y Luque Ruc: 0990008647001 Telefono: 2513855 Fax 2324351, Km 10 1 2 Via A Dalule Los Vergelesguayaquil Guayas Ecuador","","Phone Numbers: 0990008647001 --- Emails: ","Ecuador","185","Port Everglades, Fl, San Juan, Puerto Rico, Charleston, Sc","Duran, Puerto Manzanillo, Panama Canal ?C Caribbean","760421, 310510, 350699","Aluminum Profiles Bundles, Bundles Aluminum Profiles, Aluminum Profiles Aluminum Profiles Units Bundles Hollow Profiles Units Bundles Units Bundles Dae Express Release Information Appearing Declaration Relating Quantity Cargo Each Instance Based Have Knowledge Information Which Would Lead Believe Suspect That Information Furnished Incomplete Inaccurate False Any Way","262","2728481","Inter World Customs Brokers Inc, Aj Freight, Next Logistics Group Llc","San Miguel Ind Park Calle No 53 Suite 103 San Juan P R 00920 Telefono: 787-7934280, 9900 W Sample Road Ste 401 Coral Springs Fl 33065 United Sta, 8245-5 Nw 36St Miami Fl 33166 Telefono: 305 5996802"
"Qatar Aluminium Limited","Company P O Box 23086 Doha Messaieed Industrial Area Messaieed Qatar Tel 44031111, Company P O Box 23086 Doha Messaieed Industrial Area Messaieed Qatar, Company P O Box 23086 Doha Messaieed Industrial Area Messaieed Qatar Tel 44031111 Fax 44030800","","Phone Numbers:  --- Emails: ","Qatar","180","Seattle, Wa, Savannah, Ga, Los Angeles, Ca","Ningpo, Mundra, Pusan","760120, 290544, 200710","Aluminum Aluminum Extrusion Billet Dthc Pre Paid Qatalum Chassis Fees, Aluminum Extrusion Billet Dthc Pre Paid Qatalum Chassis Fees, Aluminum Extrusion Billet Reight Dthc Pre Paid Qatalum Chassis Piec Bundles","2182","36284047","Hydro Aluminum Metals Usa Llc, Geodis Usa Inc, Geodis Usa Llc","1500 Whetstone Way Ste 103 Baltimore United States, 1500 Whetstone Way Suite 103 Baltimore Md 21230 Mark Marchman Ph 4438353133 / 443 286 6901, 1500 Whetstone Way Suite 103 Baltimore Md 21230 Mark Marchman Ph 4438353133 / 443 286 6901 Mark Marchmanhydro Com"
"Oman Aluminium Rolling Company Llc","Sohar Industrial Estate Phase 6 Plot No 603 P O Box 555 Falaj Alqabail P Code 322 Sohar Sultanate Of Oman, Sonar Industrial Estate Phase 6 Plot No 603 P O Box 555 Falaj Alqabail P Code 322 Sohar Sultanate Of Oman, Sohar Industrial Estate Phase 6 Plot No 603 P O Box 555 Falaj Alqabail P Code 322","","Phone Numbers:  --- Emails: ","Oman","173","New York/Newark Area, Newark, Nj, Norfolk, Va, Savannah, Ga","Mundra, Singapore, Barcelona","281830, 853222, 760200","Aluminum Coils, Aluminum Coils Aluminum Coils, Aluminum Coil Aluminum Coils","1189","14895056","Livingston International, Allstates World Cargo, Transworld Logistics & Shipping Services Inc","615 Channelside Dr - Suite 207 Tampa Fl 33602 Oarcallstates-Worldcargo Com M 732-831-6868, 670 Young St Tonawanda Ny 14150 Usa Ctc Service Delivery Team 06 Tel 716-260-5948, 670 Young St Tonawanda Ny 14150 Usactc Service Delivery Team 6 Tel 716-692-3100 Email Uscst06Livingston"
"C I Energia Solar S A","S Es Windows Nit: 890 112 475-5 Av Circunvalar A 100 Mts De La Via 40 Las Flores Tel 095 3664600 Ext169, S Es Window Nit: 890 112 475-5 Av Circunvalar A 100 Mts De La Via Tel 095 3664600 Ext169, S Es Windows Nit 890 112 475-5 Via Circunvalar A 100 Mts De La Via 40 Las Flores Tel 095 3664600 Ext: 169","","Phone Numbers: 0953664600, 9533664600 --- Emails: ","Yugoslavia","167","Boston, Ma, Baltimore, Md, San Juan, Puerto Rico","Panama Canal ?C Caribbean, Cartagena, Port Bustamante","761010, 903130, 320820","Aluminum Structures Windows Frames Doors, Windows Frames Doors Aluminum Structures Windows Frames Doors, Window Items Fiberglass Aluminum Ware Aluminum Structures Windows Frames Doors","351","1627645","Imperial Freight Brokers, Fast Forward Freight, Cdc Caribe Inc","10890 N W 29Th St Doral Fl 33172 Usa Phone: 305 5926910 Fax: 305 5931781, 10890 N W 29Th St Doral Fl 33172 Usa Phone : 305 5926910 Fax: 305 59, 10890 N W 29Th St Doral Fl 33172 Usa Phone: 305 5926910 Fax: 305 5931781Contact: Ralph De La Rosa"
"Suzhou Haored Trade Co Ltd","No 188 Jixiang Road Xukou Town Wuzhong District Suzhou China, No 188 Jixiang Road Xukou Town Wuzhong District Suzhou China /86 512 66380291, 80 Yushan Road High-Tech Zone Suzhou City Suzhou China","","Phone Numbers: 8651266380291 --- Emails: ","China","159","Los Angeles, Ca, New York/Newark Area, Newark, Nj, Savannah, Ga","Shanghai, Kwangyang","281830, 853222, 761699","Aluminum Ladder Glmpxa Aluminum Ladder Glmpxa Aluminum Ladder Glmpxa Aluminum Ladder Glmpxa Aluminum Ladder Glmpxa Aluminum Ladder Glmpxa, Copy Negotiable Release Procedures Aluminum Ladder Glmpxa Aluminum Ladder Glmpxa Aluminum Ladder Gla Aluminum Ladder Gla, Copy Negotiable Release Procedures Aluminum Ladder Glmpxa Aluminum Ladder Glmpxa Aluminum Ladder Glmpxa Aluminum Ladder Glmpxa Aluminum Ladder Glmpxa Aluminum Ladder Glmpxa","1238","5638882","Tricam Industries, Tricam Industries Inc","7677 Equitable Drive Eden Prairie Mn 55344 Attn:Dave Schulenberg, 7677 Equitable Drive Eden Prairie Mn 55344 Usa Attn:Dave Schulenberg Tel: 952-897-0216 Fax:@@@, 7677 Equitable Drive Eden Prairie Mn 55344 Attn: Dave Schulenberg"
"Wti","No 1 North And South Avenue Bao Hua Economic Development Zone Jurong Zhenjiang 212415 P R China, No 1 North And South Avenue Baohua Economic Development Zone Jurong Zhenjiang 212415 P R China Tel:0511-87898178, No 1 North And South Avenue Baohua Economic Development Zone Jurong Zhenjiang 212415 P R China","","Phone Numbers: 051187898178 --- Emails: ","China","157","Los Angeles, Ca, Tacoma, Wa, Houston, Tx","Shanghai, Panama Canal ?C Caribbean, Kwangyang","730840, 761699, 730630","Aluminum Scaffolding System Steel Scaffolding Accessories Bbl, Aluminum Scaffolding System Aluminum Scaffolding System Solid Wood, Aluminum Scaffolding System Aluminum Scaffolding System Steel Scaffolding Accessories Solid Wood","243","2040837","United Cargo Management Inc, Black Bear Ladder Inc, Advanced Ladders And Scaffold Inc","19401 South Main St Suite 202 Gardena Ca 90248 Tel:310-225-3099Fax:310-225-3639 Edwine@Ucmcargo Com, 7845 S 212Th St Kent Wa 98032 Usa Tel:425 656 8044, 12 East Forest Avenue Po Box 981307 Ypsilanti Mi 48198 Usa Fax: 734 482-8424 Attn:Dave Law"
"Beautiful Window Enterprise","Cambodia Co Limited As Agent For Beautiful Window Fashions Co Limited, Cambodia Co Limited As Agent For Beautiful Window Fashions Co Limited Shandong Sunshell Special -, Cambodia Co Limited As Agent For Beautiful Window Fashions Co Limited Shandong Sunshell Special #","","Phone Numbers:  --- Emails: ","Vietnam","155","Savannah, Ga, Los Angeles, Ca, New York/Newark Area, Newark, Nj","Vung Tau, Ningpo, Yantian","091091, 930119, 940380","Tota Con Tain Solid Wood Aterial Pvc Blind Aluminum Lind Economic Zone National Road Sangkat Prey Angkunh Bavet City Rieng Province Cambodia, Solid Wood Pvc Blind Aluminum Blind, Furniture Than Seats Bamboo Rattan Purchase Declared Solid Wood Pvc Blind Aluminum Blind Economic Zone National Road Sangkat Prey Angkunh Bavet City Svay Rieng Province Cambodia","330","3431297","Ups Supply Chain Solutions Inc","2031 S Centennial Ave Aiken Sc 29803 Upsusaknlowesdocs@Ups Com Phone: 1-803-502-6755, 2031 S Centennial Ave Aiken Sc 29803 Upsusaknlowesdocs Ups Com Phone: 1-803-502-6755, 2031 S Centennial Ave Aiken Sc 29803 Upsusaknlowesdocs@Ups Com Phone: 1-803-502-6755 Fax: 1-502-374-7424"
"Henan Mingwei Aluminum Products Co Ltd","Group 5 Xihou Village Luzhuang Town Gongyi Zhengzhou City Henan Province China, Xihou Village Luzhuang Town Gongyi County Henan China","","Phone Numbers:  --- Emails: ","China","151","New York/Newark Area, Newark, Nj, Savannah, Ga, Boston, Ma","Qingdao, Panama Canal ?C Caribbean, Ningpo","760719, 760200, 760711","Aluminum Foil Aluminum Foil Wood, Aluminum Foil Roll Aluminum Foil Aluminum Foil Roll Wood, Aluminum Foil Aluminum Foil Aluminum Foil Roll Wood","162","1654125","Star Global Logisticsinc, Speedier Shipping Inc","147-39 175Th Street Ste#168 Jamaica Ny 11434 Tel:347-571-0275 E-Mail:Import@Sglnyc Com, 147-39 175Th Street Ste #168 Jamaica Ny11434 Contact:Kathie Tel: 718-244-8833 Fax: 718-244-1313, 147-39 175Th Street Ste #168 Jamaica Ny11434 Contact:Kathie Tel: 718-244-8833"
"Dae Yeong Aluminum Co Ltd","137 Gongdan 8-Ro Jillyang-Eup Gyeongsan-Si Gyeongsanbuk-Do Korea Tel: +82-53-853-0015 Fax: +82-53-854-0015, 137 Gongdan 8-Ro Jillyang-Eup Gye Ongsan-Si Gyeongsanbuk-Do Kortel 82-53-853-0015 Fax 82-53-854, 137 Gongdan 8Ro Jillyangeup Gyeongsansi Gyeongsanbukdo Korea Tel 82538530015 Fax 82538540015","","Phone Numbers: +82538530015, 82538530015, +82538540015 --- Emails: ","Republic Of Korea","149","Savannah, Ga, Long Beach, Ca, Los Angeles, Ca","Pusan, Kao Hsiung","281830, 761090, 854190","Aluminum Solar Module Frame, Aluminum Solar Module Frame Long Frame Black Anodizing Thickness Short Framepart Black Anodiz Ing Thickness, Aluminum Solar Module Frame Long Frame Black Anodizing Thickness Short Frame Black Anodizing Thickness","485","5209109","Korus Trade Inc, Fns Inc, Cj Logistics America Llc","1545 Francisco St Torrance Ca 90501 Pic: Jeff Lee Tel: 470-903-8744 E-Mail: Jeff Lee@Fnsusa Com, 3235 Satellite Blvd Bldg 400 Ste 3 00 Duluth Ga 30096-8688Attn Chon G Kim Phone 770-909-000, Dba Dsc Logistics 3551 Corporate Dr Dalton Ga 30721 Tel 1-551-233-3221 Fax 1-770-559-1688"
