"Supplier Name","Top Addresses","Supplier Websites","Supplier Contact Info","Supplier Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Supor Vietnam Co Ltd","Lot A-1-Cn My Phuoc Industrial Park Ben Cat Binh Duong Vietnam Tel : +84-274-3559868 Fax : +84-, Lot A-1-Cn My Phuoc Industrial Park Ben Cat Binh Duong Vietnam Tel : 274-3559868 Fax :","","Phone Numbers: +842743559868, 2743559868 --- Emails: ","Vietnam","65","Miami, Fl, New York/Newark Area, Newark, Nj, Los Angeles, Ca","Vung Tau, Ningpo, Kajang","761510","Basic Pressure Cooker Basic Pressure Cooker Ehs Imusa, Basic Pressure Cooker Ehs Imusa, Basic Pressure Cooker Basic Pressure Cooker Basic Pressure Cooker Imusa","82","434693","Oec Miami","9905 Nw 17 Street Suite # 107 Miami Fl 33126 Telephone 305-463- 7007"
"Kaiping Mingliang Trade Co Ltd","No 28 Industrial Avenue Zhenhua De Jiangmen Tel:86-18312839243 E-Mail:2838146917@Qq Com, No 28 Industrial Avenue Zhenhua De Jiangmen Tel:86-18312839243 91440783Ma4Umt9P2B","qq.com","Phone Numbers: 8618312839243, 8618312839243914 --- Emails: 2838146917@Qq Com","China","52","Los Angeles, Ca","Yantian","732393","Stainless Steel Bowl, Cup, Spoons","85","948706","David Noh Chb, Jaak Transport Inc","2400 W Carson St Ste # 220 Torrance Ca 90501 Tel:310-774-0919;626 372 5111 E-Mail:Dnohchb@Gmail Com ;, 661 Brea Canyon Rd Suite 7 Walnut Ca 91789 Tel:562- 477- 0077 Email:Info@Mmanorinc Com;Info@"
"Tar Hong Menamin Co Ltd","No 00830961 No 105 Ting Ping Rd Ruei Fang District Ruei Fang Industrial Park New Taipei City, No 105 Ting Ping Rd Ruei Fang District Ruei Fang Industrial Park New Taipei City Taiwan R O C, No 0 0 8 3 0 9 6 1 No 105 Ting Ping Rd Ruei Fang District Ruei Fang Industrial Park New Taipei City","","Phone Numbers:  --- Emails: ","Taiwan","50","Los Angeles, Ca, Long Beach, Ca, New York/Newark Area, Newark, Nj","Kao Hsiung, Taipei, Chi Lung","732393, 761510","Kitchen Ware, Kitchen Ware Kitchen Ware, Kitchen Ware Above Mentioned Purchase Production Are Provided","66","835523","Consignee And Success System Services, Consignee And Success System Servi, Thunder Group Inc","923 E Valley Blvd No 108 San Gabriel Ca 91776 Attn Julie, 923 E Valley Blvd No 108 San Gabriel Ca 91776 Attn: Julie Wang/Teresa, 923 E Valley Blvd No 108 San Ga Briel Ca 91776 Attn= Julie Wang/Te Resa Tel=626-288-7987 Fax=626-288-8058"
"Controladora Mabe Sa De Cv","Rfc Cma811126Aw9 Av Paseo De Las Palmas 100 Lomas De Chapultepec Miguel Hidalgo Cp 11000 Mexico, Rfc Cma811126Aw9 Avenida De Las Palmas 100 Lomas De Chapultepec I Secci N Miguel Hidalgo C P 11000/Mx, Rfc Cma811126Aw9 Avenida De Las Palmas 100Lomas De Chapultepec I Secci N Miguel Hidalgo C P 11000/Mx","","Phone Numbers:  --- Emails: ","Mexico","47","Houston, Tx, New Orleans, La","Tampico","732393","Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices, Kitchen Kitchen Invoices Kitchen Kitchen Invoices, Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices","310","1464960","Kronen International Sa","Tax-Id 30-60451400-9 Valentin Gomez 151 Haedo Buenos Aires Haedo Buenos Aires Argentina C P 1706, Tax-Id 30-60451400-9 Valentin Gomez 151 Haedo Buenos Aires Haedo Buenos Aires, Tax-Id 30-60451400-9 Valentin Gomez 151 Haedo Buenos Aires Haedo Buenos Aires Argentina C P 1706 +"
"Linkfair Household Hk Limited","10 F Union Park Centre 771-775 Nathan Road Kowloon Hong Kong Kowloon Kowloon Hk, 10/F Union Park Center 771-775 Nathan Road Kowloon Hong Kong, 10/F Union Park Center 771-775 Na Than Road Kowloon Hong Kong","","Phone Numbers:  --- Emails: ","China","42","New York/Newark Area, Newark, Nj, Charleston, Sc, New York/Newark","Yantian, Xiamen, Pusan","732393","Stainless Steel Cookware Supplier Solid Wood Stainless Steel Cookware Supplier Solid Wood Stainless Steel Cookware Supplier Solid Wood, Stainless Steel Cookware Supplier Solid Wood Stainless Steel Cookware Supplier Solid Wood, Stainless Steel Cookware Supplier Solid Wood Stainless Steel Cookware Supplier Solid Wood Stainless Steel Cookware Supplier Solid Wood Stainless Steel Cookware Supplier Solid Wood","89","551939","Seb Asia Ltd, Groupe Seb Usa, Rhenus Freight Logistics","Rm 901 9 F Skyway House, Room 901 & 903 9 F Skyway House, Kowloon Rm901&903 9 F Skyway House"
"Pt Maspion","38 - 40 Kembang Jepun Street 60162 Surabaya East Java Indonesia Tax Id No : 01 141 075 0-092 000, 38 - 40 Kembang Jepun Street 60162 Surabaya East Java Indonesia Tax Id No 01 141 075 0-092 000, 38 - 40 Kembang Jepun Street 60162 Surabaya East Java Indonesia","","Phone Numbers: 011410750092000 --- Emails: ","Indonesia","39","Los Angeles, Ca, New York/Newark Area, Newark, Nj, Tacoma, Wa","Kao Hsiung, Singapore, Hong Kong","761510","Kitchenware Sets Kitchenware Christine Rich Mallorygroup Noel Jannello Mallorygroup Denise Rich Mallorygroup, Kitchenware Sets Kitchenware, Kitchenware Sets Kitchenware Ship Conair Llc Xpo Logistics Allen Road Suite Carlisle Usa Att Sam Shunk","52","364191","2 Conair Corp, 2 Conair Llc, 1 Mallory Alexander International Logistics Ny Llc","50 Millstone Road Building 100 Suite 200 East Windsor Nj 08520 Email: Mike_Lourenco@Conair Com, 50 Millstone Road Building 100 Suite 200 East Windsor Nj 08520 Usa Email: Mike_Lourenco@Conair Com, 777 Sunrise Highway Suite 310 11563 Lynbrook Ny - Usa Tel: 516 371 1700 Fax: 516 371 1709"
"Henan Aiheng Aluminum Products Co Ltd","Xihou Village Luzhuang Town Gongyi County Henan China Tel:0371-86085089","","Phone Numbers: 037186085089 --- Emails: ","China","37","New York/Newark Area, Newark, Nj, Savannah, Ga","Qingdao, Ningpo","761510","Aluminum Foil Aluminum Foil Solid Wood, Aluminum Foil Aluminum Foil Aluminum Foil Roll Solid Wood, Aluminum Foil Aluminum Foil Interfolded Foil Sheet Aluminum Foil Roll Solid Wood","53","553060","Speedier Shipping Inc","147-39 175Th Street Ste #168 Jamaica Ny11434 Contact:Kathie Tel: 718-244-8833"
"Continental Conair Ltd","35/Fl Standard Chartered Tower Millennium City 388 Kwun Tong Road Kwun Tong Kowloon Hong Kong, 35/Fl Standard Chartered Tower Mi Llennium City 388 Kwun Tong Road K Wun Tong Kowloon Hong Kong, 35/Fl Standard Chartered Tower Millennium City 388 Kwun Tong Road Kwun Tong Kowloon Hong Kong Ein# 04379348-000","aglogistics.com","Phone Numbers: 04379348000 --- Emails: Op2Szx@Aglogistics Com Hk","China","36","Baltimore, Md, Long Beach, Ca, New York/Newark Area, Newark, Nj","Yantian, Shekou, Xiamen","732393, 761510","Programmable Kettle, Alum Andz Cookware Alum Andz Cookware Solid Wood, Aluminium Cookware Solid Wood Also Mallory Alexander Internatio Nal Logistics Llc Sunrise Highway Suite Lynbrook Nyc Conair Mallorygroup Conair Llc Millstone Road Uilding Suite East Windsor Usa Mike Lourenco Conair","108","815624","Mallory Alexander International Logistics, Conair Llc, Delmar International Inc","One Cross Island Plaza Suite 227 Rosedale Ny 11422 U S A Email= Con Airimports@Delmarusa Com, 777 Sunrise Highway Suite 310 11563 Lynbrook Ny - Us Tel: 516 371 1700 Fax: 516 371 1709Email:Nyc Conair@Mallorygroup Com, Glendale Operations 7475 Glen Harbor Blvd Glendale Az 85307 Email: Glendale-Imports@Conair Com"
"Delmar International Hong Kong Ltd","Unit 4601 Level 46 Tower 1 Metroplaza 223 Hing Fong Street New Territories Hong Kong#, Unit 4601 Level 46 Tower 1 Metroplaza 223 Hing Fong Street New Territories Hong Kong #, Unit 4601 Level 46 Tower 1 Metroplaza 223 Hing Fong Street New Territories Hong Kong","","Phone Numbers:  --- Emails: ","China","34","Baltimore, Md, New York/Newark Area, Newark, Nj, Los Angeles, Ca","Yantian, Pusan","732393, 761510","Belly Cookware Tri Ply Cookware Chefs Stainless Advises That Wood Shipmentemail Conairbsidelmarhkcom Conairimpo Rtsdelmarusacom Arrivalsconair Mallorygroupcom Chef Calssic Pro Stainless Advises That Wood Shipmen Nesting Cookware Chef Classic Stick Anodized Piece Advises That Wood Smartnest Stainless Nesting Cookware Tri Plys Cookware Vises That Wood Usedin, Casserolelid Rebate Skillet Pro Series Stainless Skillet Cast Hlpr Saute Pan Hlp Cover Che Skillet Mallory Alexander Int Logistics Llc Sunrise Highway Suite Lynbrook Nyc Conair Mallorygroup Stainless Skil Let Brazil Chef Cookware Chef Cookware Cookware Met White Chefs Saucepan Cover Chefs Pour Saucepan Advises That Wood, Chef Classic Stainless Piece Sets Chef Classic Ainless Piece Sets French Classic Tri Ply Stainless Saucepan Cover Fct Tri Ply Sautepan Hlp Cvr Fct Hdsa Tri Saucepan Cover Fct Dsa Tri Ply Saucepan Cov Fct Dsa Tri Skillet Fct Nsdsa Tri Ply Crepe Pan Nsdsa Tri Ply Sauc Epan Cover Fct Dsa Tri Ply Skillet Fct Fds Tri Ply Saute Cover Mcp Hndsa Tri Ply Skillet Helper Hndsa Tri Ply Open Killet Mcp Ndsa Ply Open Skillet Mcp Ndsa Multiclad Pro Stainless Saucepan Mcp Multiclad Pro Stainless Saucepan Mcp Mcp Saucepa Mcp Multi Clad Pro Stainless Skillet Mcp Advises That Wood Sed Actual Worldc Orp Limited Unit Block Hong Kong Industrial Centre Castle Peak Road Cheung Sha Wan Kowloon Hong Kong Contract Also Mallory Alexander Int Logistics Llc Sunrise Highway Suite Lynbrook Arrivals Conair Mallorygroup Conair Corporation Milford East Windsor United States Worldcorp Limited Chef Classic Stainless Piece Sets Chef Classic Ainless Piece Sets French Classic Tri Ply Stainless Saucepan Cover Fct Tri Ply Saut","118","1194619","Delmar International Inc, Delmar International N Y Inc","One Cross Island Plaza Suite 227 Rosedale Ny 11422 U S A Email: ###, One Cross Island Plaza Suite 227 Rosedale Ny 11422 United States, One Cross Island Plaza Suite 227 Rosedale Ny 11422 U S A ##"
"Shanghai Guanhua Kitchenwares Co Ltd","Xincun Town Chongming County Shanghai, Xincun Town Chongming County Shanghai China, 6974579180019 Xincun Town Chongming County Shanghai China","","Phone Numbers:  --- Emails: ","China","34","Los Angeles, Ca, Houston, Tx, Tacoma, Wa","Shanghai","732393","Ikea Home Furnishing Ikea Home Furnishing Csm Sup Ecis Payable Party Mail Ikea Usdo Inter Ikea Mail Ikeaarrivalnotices Geodis, Ikea Home Furnishing Ikea Home Furnishing Csm Sup Ecis Csm Sup Ecis Payable Party Mail Ikea Usdo Inter Ikea Mail Ikeaarrivalnotices Geodis, Ikea Home Furnishing Payable Party Ikea Home Furnishing Csm Sup Ecis Mail Ikea Usdo Inter Ikea Mail Ikeaarrivalnotices Geodis","34","81834","Geodis Usa Inc","5101 South Broad Street Philadelphia Ikea Account Tel:215 238 8600, 5101 South Broad Street Philadelphia Ikea Account Tel:215 238 8600 Fax:215 238 8578 Mail:"
"Jiangmen Langjie Trade Co Ltd","Room 407 11 Building Yingcui Zhongtianguoji Gardenjiangmen Guangdong China Jiangmen Cn, Room 407 11 Building Yingcui Zhongtianguoji Garden Jiangmen Guangdong China Contact: Miss Qua Tel: 0750-3337826, Room 407 11 Building Yingcui Zhon Gtianguoji Garden Jiangmen Guangd Ong China","","Phone Numbers: 07503337826 --- Emails: ","China","32","Long Beach, Ca, Los Angeles, Ca, Houston, Tx","Yantian, Shekou","761510","Cookware, Aluminium Steamer Pot Aluminium Steamer Pot Solid Wood, Aluminium Steamer Pot","32","257782","Carmichael International Service, Global Intertrans, Es Houseware Inc","1200 Corporate Center Dr Suite#200 Monterey Park Us, 1300 Valley Vista Dr #205A Diamond Bar Ca 91765 Tel:1-909-345-7585 Fax:1-909-345-7589, 1300 Valley Vista Dr #205A Diamond Bar Ca 917651-909-345-7585"
"Ziel International Co Ltd","Rooms 1318-19 13 F Hollywood Plaza 610 Nathan Road Mongkok Kowloon Ho, Rooms 1318-19 13/F Hollywood Plaza 610 Nathan Road Mongkok Kowloon Hongkong Tel:852 27108200, Rooms 1318-19 13/F Hollywood Plaza 610 Nathan Road Mongkok Kowloon Hongkong Tel 852 27108200 Fax 852 27108266","","Phone Numbers: 85227108200, 85227108266 --- Emails: ","China","32","Savannah, Ga, Los Angeles, Ca, Baltimore, Md","Yantian, Pusan, Shekou","732393","Trash Bin, Trash Can Factory Fbwus Spo Whs Payable, Cmau Trash Can Aci Spo Whs Ketao Huang Mail Warehouse Songmics Shippingameziel Ics Opwest Songmic Trash Can Aci Spo Whs","32","79953","Klearnow Corp, Maersk Customs Services Usa Inc, Ameziel Inc","3945 Freedom Circle Suite 400 Santa Clara Ca 95054 Phone: 415 360-5177, 1501 S Clinton Street Suite 210 Baltimore Md 21224 Phone: 410-230-0373, 1501 South Clinton Street Suite 210Baltimore Maryland 21224 United States Phone 410-230-0373 Email Wayfair Mcsi Namlns Maersk C"
"Supor Vietnam","Lot A-1-Cn My Phuoc Industrial Parkben Cat Vietnam, Lot A-1-Cn My Phuoc Industrial Parkben Cat Binh Duong Vietnam, Lot A-1-Cn My Phuoc Industrial Park Ben Cat Binh Duong Vietnam","","Phone Numbers:  --- Emails: ","Vietnam","29","Los Angeles, Ca, Savannah, Ga, New York/Newark Area, Newark, Nj","Vung Tau, Hong Kong, Ningpo","761510","Fal Nil, Fal Tfal Pure Cook Fry Pan Blk Nil, Tfal Pure Fry Blk Tfal Pure Saut Blk Nil","94","496715","Yusen Logistics Americas Inc","1-A Gill Street Woburn Ma 01801 Tel: 781-537-1140 Fax: 781-537-1149Yusbs-Bathbb@Us Yusen-Logistics Com, 1-A Gill Street Woburn Ma 01801 Te L= 781-537-1140 Fax= 781-537-1149 Yusbs-Bathbb@Us Yusen-Logistics Com, 1-A Gill Street Woburn Ma 01801 Tel 781-537-1140 Fax 781-537-1149 Yusbs-Bathbbus Yusen-Logistics Com"
