"Company Name","Top Addresses","Company Websites","Company Contact Info","Company Country","Aggregated Volume","Top Destination Ports Used","Top Departure Ports Used","Top H.S. Code","Product Description","Total TEU","Total Weight","Top Notify Parties","Top Notify Party Addresses"
"Imusa Usa Llc","6000 Nw 97Th Ave Unit 26 Doral Fl 33178 Telephone 305 640-3000, Roup E Seb6000 Nw 97Th Avenue Unit 26 33178 Doral Miami-Usa 305-640-3000 Ext 3026","","Phone Numbers: 3056403000 --- Emails: ","United States","67","Miami, Fl, New York/Newark Area, Newark, Nj, Los Angeles, Ca","Vung Tau, Ningpo, Kajang","761510","Basic Pressure Cooker Basic Pressure Cooker Ehs Imusa, Basic Pressure Cooker Ehs Imusa, Basic Pressure Cooker Basic Pressure Cooker Basic Pressure Cooker Imusa","84","446860","Oec Miami, Imusa Usa Llc","9905 Nw 17 Street Suite # 107 Miami Fl 33126 Telephone 305-463- 7007, 9905 Nw 17 Street Suite # 107 Miami Fl 33126 Telephone: 305-463- 7007, Roup E Seb6000 Nw 97Th Avenue Unit 26 33178 Doral Miami-Usa 305-640-3000 Ext 3026"
"Thunder Group Inc","780 South Nogales St City Of Industry Ca 91748 Tel 626 9351605 Fax 626 9351609, 780 South Nogalos St City Of Indus Try Ca 91748 Tel= 626 9351605 Fax= 626 9351609, 780 South Nogales St City Of Industry Ca91748 U S A Tiffanyh@Thundergroup Com","thundergroup.com","Phone Numbers: 6269351605, 6269351609, 16269351605 --- Emails: A Tiffanyh@Thundergroup Com, E-Mail= Fionl@Thundergroup Com, Fionl@Thundergroup Com","United States","65","Los Angeles, Ca, Long Beach, Ca, New York/Newark Area, Newark, Nj","Kao Hsiung, Taipei, Chi Lung","732393, 761510","Kitchen Ware, Kitchen Ware Kitchen Ware, Kitchen Ware Above Mentioned Purchase Production Are Provided","89","1031480","Consignee And Success System Services, Success System Services, Consignee And Success System Servi","923 E Valley Blvd No 108 San Gabriel Ca 91776 Attn Julie, 923 E Valley Blvd No 108 San Gabriel Ca 91776 Attn: Julie Wang/Teresa, 923 E Valley Blvd No 108 San Ga Briel Ca 91776 Attn= Julie Wang/Te Resa Tel=626-288-7987 Fax=626-288-8058"
"Liberty Procurement Co Inc","650 Liberty Avenue Union Nj 07083 Usa Attn= Import Department Tel= 908-688-0888, 650 Liberty Avenue Union Nj 07083 Usa Attn: Import Department Tel: 908-688-0888, 650 Liberty Avenue Union Nj 07083 Usa Attn Import Department Tel 908-688-0888","","Phone Numbers: 9086880888 --- Emails: ","United States","64","New York/Newark Area, Newark, Nj, Long Beach, Ca, Los Angeles, Ca","Yantian, Vung Tau, Shekou","732393, 761510","Fal Nil, Fal Tfal Pure Cook Fry Pan Blk Nil, Comprtmt Step Can Comprtmt Step Can Comprtmt Step Can Comprtmt Step Can Declared That Ship Ment Wood","217","1329491","Yusen Logistics Americas Inc","1-A Gill Street Woburn Ma 01801 Te L= 781-537-1140 Fax= 781-537-1149 Yusbs-Bathbb@Us Yusen-Logistics Com, 1-A Gill Street Woburn Ma 01801 Tel: 781-537-1140 Fax: 781-537-1149Yusbs-Bathbb@Us Yusen-Logistics Com, 1-A Gill Street Woburn Ma 01801 Tel 781-537-1140 Fax 781-537-1149 Yusbs-Bathbbus Yusen-Logistics Com"
"Qvc Inc","1200 Wilson Drive Studio Park West Chester Pa 19380-4262 Attn: Tina Nask Fax #484-701-1402, 1200 Wilson Drive Studio Park West Chester Pa 19380-4262 Attn: Tina Nask/Fax 484 701-1402, 1200 Wilson Drive Studio Park West Chester Pa 19380-4262 Attn: Tina Nask Fax 484-701-1402","qvc.com","Phone Numbers: 4847011402 --- Emails: Tina Nask@Qvc Com","United States","52","Norfolk, Va, Charleston, Sc, Los Angeles, Ca","Yantian, Laem Chabang, Mundra","732393, 761510","Aluminium Stick Okware Cast, Kitchen Ware Qvc Wilson Drive Studiowest Chester Attn Tina Nask Mail, Microwave Pot Tech Nology Laden Board Wood Terial","108","659121","Geodis Usa The Navy Yard, Qvc Inc","5101 S Broad Street Philadelphia Pa 19112 Attn: Justine Newell Phone #: 267-570-272, 5101 S Broad Street Philadelphia Pa 19112, 1200 Wilson Drive Studio Park West Chester Pa 19380-4262 Attn:Tina Nask Fax 484-701-1402"
"Kronen International Sa","Tax-Id 30-60451400-9 Valentin Gomez 151 Haedo Buenos Aires Haedo Buenos Aires Argentina C P 1706, Tax-Id 30-60451400-9 Valentin Gomez 151 Haedo Buenos Aires Haedo Buenos Aires, Tax-Id 30-60451400-9 Valentin Gomez 151 Haedo Buenos Aires Haedo Buenos Aires Argentina C P 1706X","","Phone Numbers: 3060451400 --- Emails: ","United States","47","Houston, Tx, New Orleans, La","Tampico","732393","Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices Kitchen Kitchen Invoices, Kitchen Kitchen Invoices Kitchen Kitchen Invoices, Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices Kitchen Cont Kitchen Invoices","310","1464960","Kronen International Sa","Tax-Id 30-60451400-9 Valentin Gomez 151 Haedo Buenos Aires Haedo Buenos Aires Argentina C P 1706, Tax-Id 30-60451400-9 Valentin Gomez 151 Haedo Buenos Aires Haedo Buenos Aires, Tax-Id 30-60451400-9 Valentin Gomez 151 Haedo Buenos Aires Haedo Buenos Aires Argentina C P 1706 +"
"Es Houseware Inc","14808 Los Angeles Street Irwindale Ca 91706 U S A Tel: 909 589-4588 Fax: 626 898-9589, 14808 Los Angeles Street Irwindale Ca91706 Tel:909-589-4588, 14808 Los Angeles Street Irwindale Ca 91706 Tel: 909-589-4588 Fax: 626-898-9589","","Phone Numbers: 9095894588, 6268989589, 19093457585 --- Emails: ","United States","46","Los Angeles, Ca, Long Beach, Ca","Vung Tau, Ningpo, Yantian","732393, 761510","Aluminum Cookware Aluminum Cookware, Carbon Steel Cookware Carbon Steel Cookware, Kitchenware Kitchenware","68","613246","Global Intertrans, Es Houseware Inc, Global Intertrans Global","1300 Valley Vista Dr #205A Diamond Bar Ca 91765 Tel: 909 345-7585 Fax: 909 345-7589, 1300 Valley Vista Dr #205A Diamond Bar Ca 91765 Tel:1-909-345-7585, 1300 Valley Vista Dr #205A Diamond Bar Ca 91765 Tel:1-909-345-7585 Fax:1-909-345-7589"
"Kameds Mg Trade Co Ltd","18850 E Clarke Rd Parker Co 80134 Usa Attn:Chris Wu E-Mail:Cilva2018@Gmail Com, Add:18850 E Clarke Rd Parker Co 80134 Usa Attn:Chris Wu Email:Cilva2018@Gmail Com, 18850 E Clarke Rd Parker Co 80134 Usa Attn:Chris Wu E-Mail:Op-Emc@Hotmail Com","link-trans.com","Phone Numbers: 38412635100 --- Emails: Cilva2018@Gmail Com, Op-Emc@Hotmail Com, Wu Kokop23@Link-Trans Com","United States","45","Los Angeles, Ca, Long Beach, Ca, New York/Newark Area, Newark, Nj","Yantian, Ningpo","732393, 761510","Storage Rack Shipmentcontain Solid Wooden, Bbq Grill Extension Cord Outlet Solid Wooden, Bbq Grill Wok Ceramic Baking Dish Solid Wooden","53","613068","Jl Cusoms Service Llc, Jaak Transport Inc, Zall Foreign Trade Service Hong Kong Co Ltd","Add:9570 Santa Anita Ave #A Rancho Cucamonga Ca 91730 Attn:Jacky Tel:626-290-7687, Add: 661 Brea Canyon Rd Suite 7 Walnut Ca 91789 Phone#562- 477- 0077 Fax#562- 477- 0321, Add:9570 Santa Anita Ave # A Rancho Cucamonga Ca 91730 Attn:Jacky Tel:626-290-7687"
"Bradshaw International Inc","9409 Buffalo Avenue Rancho Cucamon Ga Ca 91730 Usa Telephone 1-909- 476-3884 Robyn Smith 91730, Code 95-408399800 9409 Buffalo Av Enue Rancho Cucamong A California 91730 Usa Attn James Sto 91730, 9409 Buffalo Avenue Rancho Cucamon Ga Ca 91730 Usa Telephone 1-909 -476-3884 Robyn Smith@Bra 91730","bra.91730, brads.91730, brads.hawhome.com","Phone Numbers: 19094763884, 954083998009409, 9094763884 --- Emails: Robyn Smith@Bra 91730, Robyn Smith@Brads 91730, Robyn Smith@Brads Hawhome Com","United States","42","Los Angeles, Ca, Long Beach, Ca, Savannah, Ga","Yantian, Ningpo, Hong Kong","732393, 761510","Stainless Steel Cookware, Ceramic Ware Daily Use, Aluminium Cookware Stainless Steel Cookware","81","624785","Bradshaw International Inc, Carmichael International Servic E","Code 95-408399800 9409 Buffalo Av Enue Rancho Cucamong A California 91730 Usa Attn James Sto 91730, 9409 Buffalo Avenue Rancho Cucamon Ga Ca 91730 Usa Telephone 1-909- 476-3884 Fax 1-909-476-3 91730, 9409 Buffalo Avenue Rancho Cucamonga Ca 91730 Usa Telephone 1-909-476-3884"
"Conglom Inc","- Toronto 20 Production Road Brampton Ontario L6T 4N8 Mtadde@Conglom Com, - Montreal 2600 Avenue Marie-Curie Saint-Laurent Quebec H4S 2C3 Mtadde@Conglom Com, - Toronto 20 Production Road Brampton Ontario L6T 4N8 Mark Taddeo P 514 333-6666 X224@@","conglom.com","Phone Numbers: 5143336666 --- Emails: 4N8 Mtadde@Conglom Com, 2C3 Mtadde@Conglom Com, 0J6 Mtadde@Conglom Com","United States","40","Tacoma, Wa","Ningpo","761510","Aluminium Foil Aluminium Foil, Aluminium Foil Aluminium Foil Mtadde Conglom","40","224803","Dollarama L P","5805 Avenue Royalmount Mont-Royal Quebec H4P 0A1 P #514-737-1006"
"Imperial Bag & Paper Co Llc","255 Route 1 & 9 Jersey City Nj 07306 Tel: 1-347-213-7187 Fax: 1-347-213-7187, 255 Route 1 & 9 Jersey City Nj 07306 Tel: 1-347-213-7187 Fax:1-347-213-7187, 255 Route 1 & 9 Jersey City Nj 07306 Tel:1-347-213-7187 Fax:1-347-213-7187","","Phone Numbers: 13472137187 --- Emails: ","United States","39","New York/Newark Area, Newark, Nj, Savannah, Ga","Qingdao, Ningpo","761510","Aluminum Foil Aluminum Foil Solid Wood, Aluminum Foil Aluminum Foil Aluminum Foil Roll Solid Wood, Aluminum Foil Aluminum Foil Interfolded Foil Sheet Aluminum Foil Roll Solid Wood","56","578728","Speedier Shipping Inc","147-39 175Th Street Ste #168 Jamaica Ny11434 Contact:Kathie Tel: 718-244-8833"
"Ameziel Inc","4215 E Airport Dr Ontario Ca 9176 Tel 01- 626 5923643 Ketao Huang, 8291 Milliken Ave Rancho Cucamonga Ca 91730 United States Of America Tel:01- 626 5923643 Ketao Huang, 8291 Milliken Ave Rancho Cucamonga Ca 91730 United States Of America Tel 01- 626 5923643 Ketao Huang E-","","Phone Numbers: 016265923643 --- Emails: ","United States","32","Savannah, Ga, Los Angeles, Ca, Baltimore, Md","Yantian, Pusan, Shekou","732393","Trash Bin, Trash Can Factory Fbwus Spo Whs Payable, Cmau Trash Can Aci Spo Whs Ketao Huang Mail Warehouse Songmics Shippingameziel Ics Opwest Songmic Trash Can Aci Spo Whs","32","79953","Klearnow Corp, Maersk Customs Services Usa Inc, Ameziel Inc","3945 Freedom Circle Suite 400 Santa Clara Ca 95054 Phone: 415 360-5177, 1501 S Clinton Street Suite 210 Baltimore Md 21224 Phone: 410-230-0373, 1501 South Clinton Street Suite 210Baltimore Maryland 21224 United States Phone 410-230-0373 Email Wayfair Mcsi Namlns Maersk C"
"Creative Home And Kitchen","2000 Nw 97 Avenue Unit 112 Doral Fl 33172 Usa 786 233 8621, 8460 Nw 30Th Terrace Doral Fl 33122 786 233 8621, 8460 Nw 30Th Terrace Doral Fl 33122 Usa 786 233 8621","creativehomeandkitchen.c","Phone Numbers: 7862338621, 331227862338621, 1127862338621 --- Emails: Jose@Creativehomeandkitchen C","United States","28","Los Angeles, Ca, Houston, Tx, New York/Newark Area, Newark, Nj","Kao Hsiung, Jawaharlal Nehru, Kajang","732393, 761510","Stainless Steel Cookware, Articulos Cocina Aluminio, Cookware Cookware Only Sedona Cookware Sdna Sedona Encap Stockpot Sdna Sedona Stick Frypan Sdna Dated Dated Dated","49","311252","Ihsa Intl Houseware Shippers Assoc, Creative Home And Kitchen, Ihsa Intl Housewares Shippers Association","225 E 8Th Street Newport United States, 2000 Nw 97 Avenue Unit 112 Doral Fl 33172 U S A Tel- 786 233 8621, 2000 Nw 97 Avenue Unit 112 Doral Fl 33172 Usa 786 233 8621"
"Future Me Inc","2717 N Towne Ave Pomona Ca 91767 Usa909-3424466, 2717 N Towne Ave Pomona Ca 91767 Usa An@Wflexpress Com Linda@Szfly56 Com, 2717 N Towne Ave Pomona Ca 91767 Usa3102838186","wflexpress.com","Phone Numbers: 9093424466, 3102838186 --- Emails: Usa An@Wflexpress Com Linda","United States","28","Los Angeles, Ca, Long Beach, Ca","Yantian","732393","Kettle","32","369425","Future Me Inc, Heart Flying Trade Inc","2717 N Towne Ave Pomona Ca 91767 Usa909-3424466, 2717 N Towne Ave Pomona Ca 91767 Usa3102838186, 888 W Belleview Ave Ste 2142 Denver Co 80123 Usa An@Wflexpress Com Linda@Szfly56 Com"
"Conair Llc Glendale Operations","7475 N Glen Harbor Blvd Arizona 85307 U S A Tel 623-872-8750 85307, 7475 N Glen Harbor Blvd Glendale Az85307 85307, 7475 N Glen Harbor Blvd Arizona 85307 U S A Tel 623-872-8750 Fax 62 3-872-7022 85307","conai.r.com, cona.ir.com","Phone Numbers: 62387287508530, 6238728750, 8530785307 --- Emails: Email Glendale-Imports@Conai R Com, Email Glendale-Imports@Cona Ir Com","United States","26","Long Beach, Ca, Los Angeles, Ca","Shanghai","732393","Stainless Steel Cookware, Stainless Steel Cookware Aluminum Cookware, Stainless Steel Cookwarestainless Steel Cookware","105","718165","Mallory Alexander International Logistics, Mallory Alexander International Logistics N","777 Sunrise Highway Suite 310 11563Lynbrook Ny -Us Tel 516 371 1700 11563, 777 Sunrise Highway Suite 310 11563Lynbrook Ny -Us 11563, 777 Sunrise Highway Suite 310 11563Lynbrook Ny Us Tel 516 371 1700 F Ax 516 371 1709 11563"
"Golden Tadco International Corp","251 Herrod Blvd Dayton Nj 08810 Tel732-230-5005 Mmossagoldtadco Com, 251 Herrod Blvd Dayton Nj 08810 Tel732-230-5005 Ekuogoldtadco Com","","Phone Numbers: 7322305005 --- Emails: ","United States","26","Los Angeles, Ca, Long Beach, Ca","Yantian, Pusan","732393","Table Kitchen Etc Articles Pts Stainless Stainless Steel Bath Accessories Solid Wood, Table Kitchen Etc Articles Pts Stainless Stainless Steel Bath Accessories Toilet Bowl Brush Solid Wood, Table Kitchen Etc Articles Pts Stainless Plastic Bath Accessories Stainless Steel Bath Accessories Toilet Bowl Brush Solid Wood","42","350815","Golden Tadco Intl Corp","5505 Concourse St Ontario Ca 91764 Tel 909-937-9988, 2760 E Philadelphia Street Ontario California 91761P 909-937-9988F 909-937-8088"
